id,Contractual power (kW),Production (kW),Type
BBB6004,40.0,10.8,
BBB6007,,,pump
BBB6017,1.5,31.0,company
BBB6018,137.0,155.0,company
BBB6020,100.0,0.0,university
BBB6021,35.0,50.0,company
BBB6022,95.0,0.0,Pump
BBB6025,7.7,19.3,company
BBB6028,125.0,0.0,pool
BBB6029,60.0,0.0,company
BBB6030,150.0,0.0,company
BBB6032,165.0,0.0,Pump
BBB6036,19.3,19.3,company
BBB6040,51.0,34.6,company
BBB6048,30.0,49.9,company
BBB6050,100.0,0.0,company
BBB6051,35.0,34.7,company
BBB6052,1.5,89.9,company
BBB6055,1.5,175.5,company
BBB6061,80.0,0.0,company
BBB6062,46.0,49.3,company
BBB6063,100.0,0.0,company
BBB6064,200.0,0.0,company
BBB6065,125.0,0.0,company
BBB6067,70.0,0.0,
BBB6071,,,
BBB6074,33.0,49.0,
BBB6078,76.0,50.0,company
BBB6086,,,
BBB6087,100.0,0.0,
BBB6097,70.0,108.2,
BBB6100,10,0.0,substation
BBB6103,22.0,0.0,electric vehicle charging station
BBB6105,22.0,0.0,electric vehicle charging station
BBB6133,,,company
BBB6140,,,
BBB6168,3.0,0.0,User
BBB6169,3.0,0.0,User
BBB6170,3.0,0.0,User
BBB6171,3.0,0.0,User
BBB6173,3.0,0.0,User
BBB6177,3.0,0.0,User
BBB6178,3.0,0.0,User
BBB6179,3.0,0.0,User
BBB6180,3.0,0.0,User
BBB6181,3.0,0.0,User
BBB6182,3.0,0.0,User
BBB6183,3.0,0.0,User
BBB6186,3.0,0.0,User
BBB6190,3.0,0.0,User
BBB6191,3.0,0.0,User
BBB6192,3.0,0.0,User
BBB6197,3.0,0.0,User
BBB6198,3.0,0.0,User
BBB6152,3.0,,household
BBB6153,3.0,,household
BBB6154,3.0,,household
BBB6155,3.0,,household
BBB6156,3.0,,household
BBB6157,3.0,,household
BBB6158,3.0,,household
BBB6159,3.0,,household
BBB6160,3.0,,household
BBB6161,3.0,,household
BBB6162,3.0,,household
BBB6163,3.0,,household
BBB6164,3.0,,household
BBB6165,3.0,,household
BBB6166,3.0,,household
BBB6167,3.0,,household
BBB6172,3.0,,household
BBB6174,3.0,,household
BBB6175,3.0,,household
BBB6176,3.0,,household
BBB6184,3.0,,household
BBB6185,3.0,,household
BBB6187,3.0,,household
BBB6188,3.0,,household
BBB6189,3.0,,household
BBB6193,3.0,,household
BBB6194,3.0,,household
BBB6195,3.0,,household
BBB6196,3.0,,household
BBB6199,3.0,,household
