,Date,ID,Timeseries ID,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
0,2015-04-09,BE,0,,,,,,,,,,,,,,,,,,,,,,,,10797.0
1,2015-04-09,CZ,0,,,,,,,,,,,,,,,,,,,,,,,,6828.0
2,2015-04-09,DK,1,,,,,,,,,,,,,,,,,,,,,,,,3225.0
3,2015-04-09,EE,1,,,,,,,,,,,,,,,,,,,,,,,,787.0
4,2015-04-10,BE,0,10141.0,9462.0,8995.0,8890.0,8861.0,9020.0,9935.0,10457.0,11014.0,11258.0,11380.0,11300.0,11330.0,11137.0,10861.0,10679.0,10500.0,10330.0,10368.0,10206.0,9981.0,10321.0,10125.0,10379.0
5,2015-04-10,CZ,0,6569.0,6575.0,6531.0,6448.0,6514.0,7014.0,7910.0,8312.0,8400.0,8399.0,8291.0,8251.0,8229.0,8009.0,7836.0,7906.0,7784.0,7646.0,7447.0,7611.0,7816.0,7303.0,6749.0,6368.0
6,2015-04-10,DK,1,2977.0,2861.0,2827.0,2846.0,2932.0,3201.0,3745.0,4322.0,4531.0,4589.0,4651.0,4553.0,4379.0,4217.0,3996.0,3843.0,3805.0,3999.0,3996.0,3767.0,3726.0,3604.0,3326.0,3048.0
7,2015-04-10,EE,1,754.0,735.0,729.0,733.0,765.0,854.0,980.0,1073.0,1100.0,1086.0,1070.0,1054.0,1063.0,1041.0,1024.0,996.0,977.0,968.0,958.0,975.0,988.0,919.0,834.0,767.0
8,2015-04-11,BE,0,9691.0,9035.0,8421.0,8105.0,7979.0,8031.0,8368.0,8442.0,9067.0,9610.0,10211.0,10265.0,10335.0,10232.0,9845.0,9675.0,9664.0,9729.0,9847.0,9801.0,9662.0,9796.0,9628.0,9751.0
9,2015-04-11,CZ,0,5868.0,5731.0,5759.0,5764.0,5771.0,5782.0,6019.0,6426.0,6716.0,6904.0,7014.0,7075.0,6824.0,6735.0,6534.0,6476.0,6397.0,6277.0,6381.0,6535.0,6768.0,6304.0,6048.0,5715.0
10,2015-04-11,DK,1,2826.0,2698.0,2649.0,2616.0,2625.0,2698.0,2789.0,3081.0,3400.0,3588.0,3635.0,3576.0,3541.0,3452.0,3410.0,3370.0,3426.0,3768.0,3928.0,3760.0,3656.0,3511.0,3357.0,3109.0
11,2015-04-11,EE,1,736.0,714.0,706.0,702.0,714.0,716.0,767.0,841.0,883.0,892.0,878.0,866.0,860.0,844.0,835.0,824.0,816.0,821.0,828.0,855.0,893.0,844.0,775.0,723.0
12,2015-04-12,BE,0,9153.0,8782.0,8317.0,8094.0,8009.0,8138.0,8235.0,8090.0,8415.0,8998.0,9230.0,9316.0,9505.0,9307.0,8868.0,8800.0,8585.0,8472.0,8811.0,8847.0,9051.0,9591.0,9381.0,9348.0
13,2015-04-12,CZ,0,5459.0,5370.0,5362.0,5320.0,5311.0,5293.0,5299.0,5643.0,6110.0,6558.0,6849.0,6918.0,6648.0,6593.0,6447.0,6378.0,6283.0,6254.0,6449.0,6698.0,7048.0,6679.0,6429.0,6113.0
14,2015-04-12,DK,1,2917.0,2801.0,2751.0,2721.0,2704.0,2751.0,2804.0,3036.0,3370.0,3601.0,3649.0,3686.0,3548.0,3506.0,3485.0,3503.0,3606.0,4010.0,4027.0,3871.0,3848.0,3718.0,3393.0,3170.0
15,2015-04-12,EE,1,698.0,680.0,673.0,667.0,669.0,655.0,695.0,767.0,820.0,839.0,838.0,847.0,862.0,859.0,860.0,855.0,858.0,869.0,881.0,905.0,919.0,852.0,785.0,733.0
16,2015-04-13,BE,0,8739.0,8383.0,8138.0,8079.0,8095.0,8427.0,9464.0,10138.0,10827.0,11264.0,11648.0,11768.0,11774.0,11718.0,11400.0,11288.0,11021.0,10853.0,10918.0,10718.0,10554.0,10880.0,10708.0,10628.0
17,2015-04-13,CZ,0,5964.0,6090.0,6001.0,5905.0,5989.0,6524.0,7486.0,7898.0,8068.0,8146.0,8175.0,8231.0,8252.0,8199.0,8049.0,8059.0,7933.0,7943.0,7771.0,7935.0,8058.0,7557.0,6986.0,6592.0
18,2015-04-13,DK,1,2970.0,2892.0,2873.0,2881.0,2978.0,3244.0,3742.0,4348.0,4605.0,4661.0,4749.0,4679.0,4635.0,4715.0,4514.0,4303.0,4248.0,4413.0,4262.0,4087.0,4019.0,3921.0,3571.0,3199.0
19,2015-04-13,EE,1,701.0,689.0,684.0,692.0,721.0,810.0,957.0,1071.0,1109.0,1108.0,1118.0,1099.0,1121.0,1111.0,1097.0,1064.0,1027.0,,,,1008.0,931.0,843.0,781.0
20,2015-04-14,BE,0,9984.0,9280.0,8738.0,8742.0,8823.0,8911.0,9835.0,10324.0,10871.0,11156.0,11261.0,11327.0,11190.0,11018.0,10826.0,10725.0,10680.0,10562.0,10690.0,10418.0,10250.0,10637.0,10482.0,10415.0
21,2015-04-14,CZ,0,6308.0,6353.0,6309.0,6184.0,6264.0,6826.0,7730.0,8162.0,8235.0,8309.0,8109.0,8082.0,8156.0,8094.0,7875.0,7957.0,7824.0,7779.0,7669.0,7881.0,8067.0,7543.0,7062.0,6611.0
