,Date,Timeseries ID,ID,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
0,2015-04-09,0,BE,,,,,,,,,,,,,,,,,,,,,,,,10797.0
1,2015-04-09,0,PT,,,,,,,,,,,,,,,,,,,,,,,,5802.0
2,2015-04-09,0,RO,,,,,,,,,,,,,,,,,,,,,,,,6513.0
3,2015-04-10,0,BE,10141.0,9462.0,8995.0,8890.0,8861.0,9020.0,9935.0,10457.0,11014.0,11258.0,11380.0,11300.0,11330.0,11137.0,10861.0,10679.0,10500.0,10330.0,10368.0,10206.0,9981.0,10321.0,10125.0,10379.0
4,2015-04-10,0,PT,5248.0,4784.0,4487.0,4312.0,4229.0,4220.0,4297.0,4504.0,4951.0,5762.0,6070.0,6161.0,6272.0,6100.0,6047.0,6181.0,6092.0,5979.0,5766.0,5672.0,5787.0,6266.0,6136.0,5728.0
5,2015-04-10,0,RO,6214.0,5995.0,5880.0,5978.0,6113.0,6260.0,6697.0,6978.0,7036.0,6807.0,6753.0,6529.0,6502.0,6372.0,6287.0,6203.0,6223.0,6326.0,6582.0,7273.0,7409.0,6931.0,6430.0,5936.0
6,2015-04-11,0,BE,9691.0,9035.0,8421.0,8105.0,7979.0,8031.0,8368.0,8442.0,9067.0,9610.0,10211.0,10265.0,10335.0,10232.0,9845.0,9675.0,9664.0,9729.0,9847.0,9801.0,9662.0,9796.0,9628.0,9751.0
7,2015-04-11,0,PT,5214.0,4756.0,4460.0,4259.0,4150.0,4078.0,4061.0,4021.0,4064.0,4442.0,4822.0,5024.0,5123.0,5162.0,5057.0,4973.0,4869.0,4758.0,4713.0,4767.0,4990.0,5554.0,5494.0,5143.0
8,2015-04-11,0,RO,5665.0,5548.0,5526.0,5463.0,5549.0,5514.0,5639.0,5882.0,5934.0,5943.0,5880.0,5828.0,5786.0,5695.0,5620.0,5629.0,5679.0,5737.0,5957.0,6702.0,6871.0,6493.0,5967.0,5436.0
9,2015-04-12,0,BE,9153.0,8782.0,8317.0,8094.0,8009.0,8138.0,8235.0,8090.0,8415.0,8998.0,9230.0,9316.0,9505.0,9307.0,8868.0,8800.0,8585.0,8472.0,8811.0,8847.0,9051.0,9591.0,9381.0,9348.0
10,2015-04-12,0,PT,4769.0,4399.0,4104.0,3884.0,3799.0,3752.0,3754.0,3690.0,3637.0,3892.0,4253.0,4573.0,4799.0,4899.0,4753.0,4597.0,4480.0,4377.0,4391.0,4500.0,4726.0,5269.0,5334.0,5056.0
11,2015-04-12,0,RO,5218.0,5059.0,4930.0,4871.0,4872.0,4641.0,4580.0,4642.0,4663.0,4627.0,4509.0,4399.0,4292.0,4199.0,4207.0,4273.0,4379.0,4521.0,4797.0,5517.0,5728.0,5461.0,5088.0,4737.0
12,2015-04-13,0,BE,8739.0,8383.0,8138.0,8079.0,8095.0,8427.0,9464.0,10138.0,10827.0,11264.0,11648.0,11768.0,11774.0,11718.0,11400.0,11288.0,11021.0,10853.0,10918.0,10718.0,10554.0,10880.0,10708.0,10628.0
13,2015-04-13,0,PT,4670.0,4337.0,4073.0,3948.0,3886.0,3901.0,3981.0,4182.0,4601.0,5448.0,5825.0,5948.0,6078.0,5945.0,5899.0,6044.0,5993.0,5912.0,5724.0,5601.0,5764.0,6143.0,6075.0,5635.0
14,2015-04-13,0,RO,4571.0,4459.0,4430.0,4392.0,4564.0,4547.0,4617.0,4806.0,4782.0,4738.0,4682.0,4597.0,4550.0,4537.0,4511.0,4527.0,4593.0,4766.0,5054.0,5796.0,5949.0,5550.0,5225.0,4944.0
15,2015-04-14,0,BE,9984.0,9280.0,8738.0,8742.0,8823.0,8911.0,9835.0,10324.0,10871.0,11156.0,11261.0,11327.0,11190.0,11018.0,10826.0,10725.0,10680.0,10562.0,10690.0,10418.0,10250.0,10637.0,10482.0,10415.0
16,2015-04-14,0,PT,5106.0,4670.0,4399.0,4247.0,4172.0,4162.0,4241.0,4348.0,4770.0,5621.0,5934.0,6011.0,6125.0,5987.0,5930.0,6090.0,6063.0,6049.0,5849.0,5698.0,5906.0,6246.0,6131.0,5691.0
